,second,Volt,Volt.1
112,-0.0888,-0.6432160735,-0.0603015069
113,-0.0887,-0.6633165758,-0.0562814064
114,-0.0886,-0.6432160735,-0.0562814064
115,-0.0885,-0.6432160735,-0.0562814064
116,-0.08839999999999999,-0.6432160735,-0.0562814064
117,-0.0883,-0.6633165758,-0.0562814064
118,-0.0882,-0.6633165758,-0.0562814064
119,-0.0881,-0.6834170781,-0.0562814064
120,-0.088,-0.6834170781,-0.0562814064
121,-0.08789999999999999,-0.6834170781,-0.0562814064
122,-0.0878,-0.6834170781,-0.052261306
123,-0.0877,-0.7035175804,-0.052261306
124,-0.0876,-0.7035175804,-0.052261306
125,-0.0875,-0.7035175804,-0.0562814064
126,-0.08739999999999999,-0.7035175804,-0.052261306
127,-0.08729999999999999,-0.7035175804,-0.052261306
128,-0.0872,-0.7236180827,-0.052261306
129,-0.0871,-0.7236180827,-0.0482412055
130,-0.087,-0.7035175804,-0.0482412055
131,-0.0869,-0.7236180827,-0.052261306
132,-0.0868,-0.743718585,-0.0482412055
133,-0.08670000000000001,-0.7236180827,-0.052261306
134,-0.08660000000000001,-0.743718585,-0.0482412055
135,-0.08650000000000001,-0.743718585,-0.0482412055
136,-0.0864,-0.743718585,-0.0482412055
137,-0.0863,-0.743718585,-0.0482412055
138,-0.0862,-0.743718585,-0.0482412055
139,-0.08610000000000001,-0.7638190873,-0.0482412055
140,-0.08600000000000001,-0.7638190873,-0.052261306
141,-0.0859,-0.7638190873,-0.0482412055
142,-0.0858,-0.7638190873,-0.0482412055
143,-0.0857,-0.7839195896,-0.0482412055
144,-0.0856,-0.7638190873,-0.0482412055
145,-0.0855,-0.7839195896,-0.0482412055
146,-0.0854,-0.7839195896,-0.0482412055
147,-0.0853,-0.7839195896,-0.0482412055
148,-0.0852,-0.7839195896,-0.0402010046
149,-0.0851,-0.7839195896,-0.0482412055
150,-0.085,-0.7839195896,-0.0442211051
151,-0.0849,-0.8040200919,-0.0442211051
152,-0.0848,-0.8040200919,-0.0442211051
153,-0.0847,-0.8241205942,-0.0442211051
154,-0.0846,-0.8040200919,-0.0442211051
155,-0.08449999999999999,-0.8040200919,-0.0442211051
156,-0.0844,-0.8040200919,-0.0442211051
157,-0.0843,-0.8241205942,-0.0442211051
158,-0.0842,-0.8241205942,-0.0402010046
159,-0.0841,-0.8442210965,-0.0402010046
160,-0.08399999999999999,-0.8241205942,-0.0442211051
161,-0.0839,-0.8241205942,-0.0442211051
162,-0.0838,-0.8241205942,-0.0402010046
