,t_vals,ct_y_vals,ana_y_vals
0,-0.9565217391304348,0.0,0.0
1,-0.8695652173913044,0.0,0.0
2,-0.7826086956521738,0.0,0.0
3,-0.6956521739130435,0.0,0.0
4,-0.6086956521739131,0.0,0.0
5,-0.5217391304347827,0.0,0.0
6,-0.43478260869565216,0.0,0.0
7,-0.34782608695652173,0.0,0.0
8,-0.26086956521739135,0.0,0.0
9,-0.17391304347826092,0.0,0.0
10,-0.08695652173913043,0.0,0.0
11,0.0,0.2081420365366044,0.0
12,0.08695652173913038,0.6070914063954223,0.4164152398725678
13,0.17391304347826086,0.9728150567448871,0.7981501493455099
14,0.26086956521739135,1.3080801267768825,1.1480930120392707
15,0.34782608695652173,1.6154232998972244,1.468891566510968
16,0.4347826086956521,1.8971699967859457,1.7629730395804444
17,0.5217391304347825,2.155451970001023,2.03256251121986
18,0.608695652173913,2.3922234332498773,2.279699749959307
19,0.6956521739130435,2.609275847365981,2.506254646188527
20,0.7826086956521738,2.8082514748642695,2.713941360126228
21,0.8695652173913043,2.9906558056318593,2.9043312915033868
22,0.9565217391304348,3.1578689477693724,3.0788649690917973
23,1.0434782608695652,3.311156069768278,3.238862950036444
24,1.1304347826086956,3.4516769730318733,3.3855358114582517
25,1.217391304347826,3.5804948671675447,3.5199933099257086
26,1.3043478260869563,3.698584414445939,3.6432527780977666
27,1.391304347826087,3.806839104293059,3.7562468220687384
28,1.4782608695652175,3.906078013612175,3.8598303776548417
29,1.565217391304348,3.9970520040855284,3.9547871790116966
30,1.6521739130434783,4.080449403345857,4.041835688525642
31,1.7391304347826086,4.156901213002637,4.121634532845627
32,1.826086956521739,4.226985882928034,4.194787486185801
33,1.9130434782608694,4.2912336879257555,4.261848038603468
34,1.9999999999999998,4.350130739897595,4.323323583816936
35,2.08695652173913,4.404122665864506,4.379679258249132
36,2.1739130434782608,4.453617979670879,4.431341460343956
37,2.2608695652173916,4.498991172883002,4.478701076783247
38,2.3478260869565215,4.5405855482680835,4.52211644001457
39,2.4347826086956523,4.578715817292498,4.561916039467068
40,2.5217391304347823,4.6136704812924725,4.598401006968997
41,2.608695652173913,4.6457140143336035,4.631847395172114
42,2.695652173913043,4.675088864275197,4.662508266221938
43,2.782608695652174,4.702017287179861,4.690615606477177
44,2.8695652173913047,4.7267030289478775,4.716382081765505
45,2.9565217391304346,4.749332866899942,4.74000264645626
46,3.043478260869565,4.770078022972189,4.76165601852469
47,3.1304347826086953,4.789095459216033,4.781506031768334
48,3.217391304347826,4.806529065404828,4.799702875406714
49,3.3043478260869565,4.822510747733032,4.816384230443374
50,3.391304347826087,4.837161426845184,4.831676311388236
51,3.4782608695652173,4.8505919527459795,4.8456948212221365
52,3.5652173913043477,4.862903943513856,4.858545826829009
53,3.652173913043478,4.874190554163949,4.870326561519404
54,3.7391304347826084,4.884537181477801,4.881126160717403
55,3.8260869565217392,4.894022110132699,4.891026336377291
56,3.9130434782608696,4.902717105019397,4.900101995232739
57,4.0,4.910687954229807,4.908421805556329
58,4.086956521739131,4.91799496682303,4.916048716717601
59,4.173913043478261,4.924693429135901,4.923040435470731
60,4.260869565217391,4.930834023090613,4.929449862575519
61,4.3478260869565215,4.936463209664403,4.9353254930552515
62,4.434782608695652,4.941623580422711,4.940711783119859
63,4.521739130434782,4.946354179775588,4.945649486530611
64,4.608695652173913,4.950690800395611,4.950175962951321
65,4.695652173913043,4.95466625403249,4.95432546061913
66,4.782608695652174,4.958310619773408,4.958129375473601
67,4.869565217391305,4.961651471627488,4.961616488704756
68,4.956521739130435,4.964714087156329,4.964813184517388
