X--Trace 1::[V(11) | V(PR1)],Y--Trace 1::[V(11) | V(PR1)],,X--Trace 2::[V(9) | V(PR2)],Y--Trace 2::[V(9) | V(PR2)]
1020.868972,1,,1020.868972,0.925346595
1044.648065,1,,1044.648065,0.922703974
1068.981045,1,,1068.981045,0.92000382
1093.880812,1,,1093.880812,0.917247896
1119.360569,1,,1119.360569,0.914438276
1145.433826,1,,1145.433826,0.911577365
1172.114408,1,,1172.114408,0.908667914
1199.41646,1,,1199.41646,0.905713045
1227.354458,1,,1227.354458,0.902716268
1255.943216,1,,1255.943216,0.899681502
1285.197891,1,,1285.197891,0.896613092
1315.133996,1,,1315.133996,0.893515835
1345.767402,1,,1345.767402,0.890394996
1377.114352,1,,1377.114352,0.887256331
1409.191466,1,,1409.191466,0.884106105
1442.015752,1,,1442.015752,0.880951117
1475.604613,1,,1475.604613,0.877798715
1509.97586,1,,1509.97586,0.874656825
1545.147716,1,,1545.147716,0.871533965
1581.13883,1,,1581.13883,0.868439273
1617.968285,1,,1617.968285,0.865382525
1655.655607,1,,1655.655607,0.862374163
1694.220781,1,,1694.220781,0.859425312
1733.684252,1,,1733.684252,0.856547811
1774.066946,1,,1774.066946,0.853754237
1815.390274,1,,1815.390274,0.851057928
1857.676145,1,,1857.676145,0.848473016
1900.946982,1,,1900.946982,0.846014453
1945.225725,1,,1945.225725,0.843698044
1990.535853,1,,1990.535853,0.841540473
2036.901389,1,,2036.901389,0.839559341
2084.346917,1,,2084.346917,0.837773199
2132.897594,1,,2132.897594,0.836201573
2182.579161,1,,2182.579161,0.834865004
2233.417961,1,,2233.417961,0.833785073
2285.440948,1,,2285.440948,0.832984423
2338.675706,1,,2338.675706,0.832486781
2393.150462,1,,2393.150462,0.83231696
2448.894097,1,,2448.894097,0.83250085
2505.936168,1,,2505.936168,0.833065385
2564.30692,1,,2564.30692,0.834038483
2624.037301,1,,2624.037301,0.835448935
2685.158982,1,,2685.158982,0.837326248
2747.704369,1,,2747.704369,0.839700402
2811.706626,1,,2811.706626,0.842601519
2877.199687,1,,2877.199687,0.846059388
2944.218277,1,,2944.218277,0.850102838
3012.79793,1,,3012.79793,0.854758879
3082.975009,1,,3082.975009,0.860051587
3154.786722,1,,3154.786722,0.86600063
3228.271145,1,,3228.271145,0.872619389
3303.46724,1,,3303.46724,0.879912558
3380.414877,1,,3380.414877,0.887873152
3459.154855,1,,3459.154855,0.89647883
3539.728922,1,,3539.728922,0.905687485
3622.1798,1,,3622.1798,0.915432113
3706.551207,1,,3706.551207,0.92561507
3792.887875,1,,3792.887875,0.936102014
3881.235583,1,,3881.235583,0.946716086
3971.641174,1,,3971.641174,0.957233206
4064.152581,1,,4064.152581,0.967379816
4158.818856,1,,4158.818856,0.976834752
4255.690191,1,,4255.690191,0.98523726
4354.81795,1,,4354.81795,0.992203061
4456.254691,1,,4456.254691,0.997349721
4560.054197,1,,4560.054197,1.000331144
4666.271504,1,,4666.271504,1.000878845
4774.96293,1,,4774.96293,0.998845218
4886.186105,1,,4886.186105,0.994242101
5000,1,,5000,0.987267697
5116.464961,1,,5116.464961,0.978316756
5235.64274,1,,5235.64274,0.967972916
5357.596526,1,,5357.596526,0.956986804
5482.390981,1,,5482.390981,0.946247465
5610.092272,1,,5610.092272,0.936756472
5740.768107,1,,5740.768107,0.929613388
5874.487775,1,,5874.487775,0.926018224
6011.322173,1,,6011.322173,0.927291026
6151.343854,1,,6151.343854,0.934897805
6294.627059,1,,6294.627059,0.950445511
6441.247758,1,,6441.247758,0.975537506
6591.283693,1,,6591.283693,1.011190537
6744.814413,1,,6744.814413,1.0560572
6901.921323,1,,6901.921323,1.101969791
7062.687723,1,,7062.687723,1.126247655
7227.198854,1,,7227.198854,1.090743084
7395.541941,1,,7395.541941,0.972576979
7567.806242,1,,7567.806242,0.801852667
7744.083095,1,,7744.083095,0.631508377
7924.465962,1,,7924.465962,0.490067442
8109.050487,1,,8109.050487,0.381238599
8297.934537,1,,8297.934537,0.299369302
8491.218262,1,,8491.218262,0.237731597
8689.004144,1,,8689.004144,0.190867429
8891.39705,1,,8891.39705,0.154783501
9098.504293,1,,9098.504293,0.126641873
9310.435683,1,,9310.435683,0.104429431
9527.30359,1,,9527.30359,0.086705285
9749.222999,1,,9749.222999,0.072424511
9976.311575,1,,9976.311575,0.060818442
10208.68972,1,,10208.68972,0.051313597
10446.48065,1,,10446.48065,0.043476356
10689.81045,1,,10689.81045,0.036974772
10938.80812,1,,10938.80812,0.031551819
11193.60569,1,,11193.60569,0.027006416
11454.33826,1,,11454.33826,0.023179756
11721.14408,1,,11721.14408,0.019945341
11994.1646,1,,11994.1646,0.017201615
12273.54458,1,,12273.54458,0.014866468
12559.43216,1,,12559.43216,0.012873076
12851.97891,1,,12851.97891,0.011166733
